STATE_FIPS,STATE_NAME,YEAR,POPULATION
0,United States,2010,309327143
0,United States,2011,311583481
0,United States,2012,313877662
0,United States,2013,316059947
0,United States,2014,318386329
0,United States,2015,320738994
0,United States,2016,323071755
0,United States,2017,325122128
0,United States,2018,326838199
0,United States,2019,328329953
0,United States,2020,329484123
0,Northeast Region,2010,55380764
0,Northeast Region,2011,55608318
0,Northeast Region,2012,55782661
0,Northeast Region,2013,55912775
0,Northeast Region,2014,56021339
0,Northeast Region,2015,56052790
0,Northeast Region,2016,56063777
0,Northeast Region,2017,56083383
0,Northeast Region,2018,56084543
0,Northeast Region,2019,56002934
0,Northeast Region,2020,55849869
0,Midwest Region,2010,66975328
0,Midwest Region,2011,67164092
0,Midwest Region,2012,67348275
0,Midwest Region,2013,67576524
0,Midwest Region,2014,67765576
0,Midwest Region,2015,67885682
0,Midwest Region,2016,68018175
0,Midwest Region,2017,68160342
0,Midwest Region,2018,68263019
0,Midwest Region,2019,68340091
0,Midwest Region,2020,68316744
0,South Region,2010,114869421
0,South Region,2011,116019483
0,South Region,2012,117264196
0,South Region,2013,118397213
0,South Region,2014,119666248
0,South Region,2015,121049223
0,South Region,2016,122419547
0,South Region,2017,123611036
0,South Region,2018,124649156
0,South Region,2019,125686544
0,South Region,2020,126662754
0,West Region,2010,72101630
0,West Region,2011,72791588
0,West Region,2012,73482530
0,West Region,2013,74173435
0,West Region,2014,74933166
0,West Region,2015,75751299
0,West Region,2016,76570256
0,West Region,2017,77267367
0,West Region,2018,77841481
0,West Region,2019,78300384
0,West Region,2020,78654756
1,Alabama,2010,4785514
1,Alabama,2011,4799642
1,Alabama,2012,4816632
1,Alabama,2013,4831586
1,Alabama,2014,4843737
1,Alabama,2015,4854803
1,Alabama,2016,4866824
1,Alabama,2017,4877989
1,Alabama,2018,4891628
1,Alabama,2019,4907965
1,Alabama,2020,4921532
2,Alaska,2010,713982
2,Alaska,2011,722349
2,Alaska,2012,730810
2,Alaska,2013,737626
2,Alaska,2014,737075
2,Alaska,2015,738430
2,Alaska,2016,742575
2,Alaska,2017,740983
2,Alaska,2018,736624
2,Alaska,2019,733603
2,Alaska,2020,731158
4,Arizona,2010,6407342
4,Arizona,2011,6473416
4,Arizona,2012,6556344
4,Arizona,2013,6634690
4,Arizona,2014,6732873
4,Arizona,2015,6832810
4,Arizona,2016,6944767
4,Arizona,2017,7048088
4,Arizona,2018,7164228
4,Arizona,2019,7291843
4,Arizona,2020,7421401
5,Arkansas,2010,2921998
5,Arkansas,2011,2941038
5,Arkansas,2012,2952876
5,Arkansas,2013,2960459
5,Arkansas,2014,2968759
5,Arkansas,2015,2979732
5,Arkansas,2016,2991815
5,Arkansas,2017,3003855
5,Arkansas,2018,3012161
5,Arkansas,2019,3020985
5,Arkansas,2020,3030522
6,California,2010,37319550
6,California,2011,37636311
6,California,2012,37944551
6,California,2013,38253768
6,California,2014,38586706
6,California,2015,38904296
6,California,2016,39149186
6,California,2017,39337785
6,California,2018,39437463
6,California,2019,39437610
6,California,2020,39368078
8,Colorado,2010,5047539
8,Colorado,2011,5121900
8,Colorado,2012,5193660
8,Colorado,2013,5270774
8,Colorado,2014,5352637
8,Colorado,2015,5454328
8,Colorado,2016,5543844
8,Colorado,2017,5617421
8,Colorado,2018,5697155
8,Colorado,2019,5758486
8,Colorado,2020,5807719
9,Connecticut,2010,3579173
9,Connecticut,2011,3588632
9,Connecticut,2012,3595211
9,Connecticut,2013,3595792
9,Connecticut,2014,3595697
9,Connecticut,2015,3588561
9,Connecticut,2016,3579830
9,Connecticut,2017,3575324
9,Connecticut,2018,3574561
9,Connecticut,2019,3566022
9,Connecticut,2020,3557006
10,Delaware,2010,899647
10,Delaware,2011,907590
10,Delaware,2012,915518
10,Delaware,2013,924062
10,Delaware,2014,933131
10,Delaware,2015,942065
10,Delaware,2016,949989
10,Delaware,2017,957942
10,Delaware,2018,966985
10,Delaware,2019,976668
10,Delaware,2020,986809
11,District of Columbia,2010,605282
11,District of Columbia,2011,620290
11,District of Columbia,2012,635737
11,District of Columbia,2013,651559
11,District of Columbia,2014,663603
11,District of Columbia,2015,677014
11,District of Columbia,2016,687576
11,District of Columbia,2017,697079
11,District of Columbia,2018,704147
11,District of Columbia,2019,708253
11,District of Columbia,2020,712816
12,Florida,2010,18846143
12,Florida,2011,19055607
12,Florida,2012,19302016
12,Florida,2013,19551678
12,Florida,2014,19853880
12,Florida,2015,20219111
12,Florida,2016,20627237
12,Florida,2017,20977089
12,Florida,2018,21254926
12,Florida,2019,21492056
12,Florida,2020,21733312
13,Georgia,2010,9712209
13,Georgia,2011,9803630
13,Georgia,2012,9903580
13,Georgia,2013,9975592
13,Georgia,2014,10071204
13,Georgia,2015,10183353
13,Georgia,2016,10308442
13,Georgia,2017,10417031
13,Georgia,2018,10519389
13,Georgia,2019,10628020
13,Georgia,2020,10710017
15,Hawaii,2010,1364004
15,Hawaii,2011,1379562
15,Hawaii,2012,1395199
15,Hawaii,2013,1408822
15,Hawaii,2014,1415335
15,Hawaii,2015,1422999
15,Hawaii,2016,1428885
15,Hawaii,2017,1425763
15,Hawaii,2018,1423102
15,Hawaii,2019,1415615
15,Hawaii,2020,1407006
16,Idaho,2010,1570819
16,Idaho,2011,1584272
16,Idaho,2012,1595910
16,Idaho,2013,1612053
16,Idaho,2014,1632248
16,Idaho,2015,1652495
16,Idaho,2016,1684036
16,Idaho,2017,1719745
16,Idaho,2018,1752074
16,Idaho,2019,1789060
16,Idaho,2020,1826913
17,Illinois,2010,12840545
17,Illinois,2011,12867783
17,Illinois,2012,12883029
17,Illinois,2013,12895778
17,Illinois,2014,12885092
17,Illinois,2015,12859585
17,Illinois,2016,12821709
17,Illinois,2017,12779893
17,Illinois,2018,12724685
17,Illinois,2019,12667017
17,Illinois,2020,12587530
18,Indiana,2010,6490555
18,Indiana,2011,6517250
18,Indiana,2012,6538989
18,Indiana,2013,6570575
18,Indiana,2014,6596019
18,Indiana,2015,6611442
18,Indiana,2016,6637898
18,Indiana,2017,6662068
18,Indiana,2018,6698481
18,Indiana,2019,6731010
18,Indiana,2020,6754953
19,Iowa,2010,3050819
19,Iowa,2011,3066772
19,Iowa,2012,3076844
19,Iowa,2013,3093935
19,Iowa,2014,3110643
19,Iowa,2015,3122541
19,Iowa,2016,3133210
19,Iowa,2017,3143734
19,Iowa,2018,3149900
19,Iowa,2019,3159596
19,Iowa,2020,3163561
20,Kansas,2010,2858266
20,Kansas,2011,2869677
20,Kansas,2012,2886024
20,Kansas,2013,2894306
20,Kansas,2014,2901861
20,Kansas,2015,2910717
20,Kansas,2016,2912977
20,Kansas,2017,2910892
20,Kansas,2018,2912748
20,Kansas,2019,2912635
20,Kansas,2020,2913805
21,Kentucky,2010,4348464
21,Kentucky,2011,4370817
21,Kentucky,2012,4387865
21,Kentucky,2013,4406906
21,Kentucky,2014,4416992
21,Kentucky,2015,4429126
21,Kentucky,2016,4440306
21,Kentucky,2017,4455590
21,Kentucky,2018,4464273
21,Kentucky,2019,4472345
21,Kentucky,2020,4477251
22,Louisiana,2010,4544635
22,Louisiana,2011,4576244
22,Louisiana,2012,4602067
22,Louisiana,2013,4626040
22,Louisiana,2014,4645938
22,Louisiana,2015,4666998
22,Louisiana,2016,4681346
22,Louisiana,2017,4673673
22,Louisiana,2018,4664450
22,Louisiana,2019,4658285
22,Louisiana,2020,4645318
23,Maine,2010,1327651
23,Maine,2011,1328473
23,Maine,2012,1328094
23,Maine,2013,1328543
23,Maine,2014,1331217
23,Maine,2015,1329098
23,Maine,2016,1332348
23,Maine,2017,1335743
23,Maine,2018,1340123
23,Maine,2019,1345770
23,Maine,2020,1350141
24,Maryland,2010,5788784
24,Maryland,2011,5840241
24,Maryland,2012,5888375
24,Maryland,2013,5925197
24,Maryland,2014,5960064
24,Maryland,2015,5988528
24,Maryland,2016,6007014
24,Maryland,2017,6028186
24,Maryland,2018,6042153
24,Maryland,2019,6054954
24,Maryland,2020,6055802
25,Massachusetts,2010,6566440
25,Massachusetts,2011,6614218
25,Massachusetts,2012,6664269
25,Massachusetts,2013,6715158
25,Massachusetts,2014,6764864
25,Massachusetts,2015,6797484
25,Massachusetts,2016,6827280
25,Massachusetts,2017,6863560
25,Massachusetts,2018,6885720
